token_address,symbol,type,total_trades,total_gaps,block_range,block_gap_mean,block_gap_std_dev,block_gap_variance,block_gap_min,block_gap_max,block_gap_p25,block_gap_p50,block_gap_p75,block_gap_p90,block_gap_p95,gap_0_count,gap_1_count,gap_2_count,gap_3_count,gap_4to5_count,gap_6to10_count,gap_over10_count,gap_0_ratio,gap_1_ratio,gap_2to3_ratio,gap_over3_ratio,concentration
0x0da3a0a3bd66bbeaaa4d35d12cb9ea3725294444,龙虾人,pump,313,312,173,0.55,1.49,2.22,-2,12,0,0,1,3,3,124,69,22,22,12,0,1,0.3974,0.2212,0.141,0.0417,0.6186
0x16aeb87aeb78e4cf7987f16e910c285d77354444,AGENTGDP,normal,102,101,184,1.82,3.19,10.21,-2,19,0,1,3,5,7,31,19,10,10,11,6,2,0.3069,0.1881,0.198,0.1881,0.495
0x98fe71847aa16d9e40a4f0e123d172bc71d14444,币安矩阵,pump,180,179,170,0.95,1.7,2.89,-2,8,0,1,2,3,4,57,40,25,13,12,3,0,0.3184,0.2235,0.2123,0.0838,0.5419
0xa9fe96fd5230a135ada220523032b3e1a67d4444,WorkBuddy,normal,209,208,161,0.77,1.57,2.46,-2,9,0,0,2,3,3,72,42,35,14,5,4,0,0.3462,0.2019,0.2356,0.0433,0.5481
0x721f5abc0d34948aa0904ba135cc4d9c6ff84444,虾头男,pump,214,213,192,0.9,1.72,2.95,-2,11,0,0,2,3,4,85,34,33,15,12,2,1,0.3991,0.1596,0.2254,0.0704,0.5587
0x2be52e98e45ed3d27f56284972b3545dac964444,逆克莱默,pump,76,75,153,2.04,2.36,5.59,-1,11,0,2,3,4,6,18,10,14,17,6,4,1,0.24,0.1333,0.4133,0.1467,0.3733
0xd8d4ddeb91987a121422567260a88230dbb34444,CTO,pump,393,392,160,0.41,1.36,1.86,-2,8,0,0,1,2,3,185,73,30,18,7,4,0,0.4719,0.1862,0.1224,0.0281,0.6582
0x281f05868b5ba9e55869541a117ebb661f474444,宝贝龙虾,pump,157,156,171,1.1,2.55,6.51,-2,22,0,1,2,3,4,46,34,19,14,7,4,2,0.2949,0.2179,0.2115,0.0833,0.5128
0xf3372a3dbc824f0b0044ca77209559514b294444,GLUBSCHIS,pump,295,294,169,0.57,1.41,1.99,-2,7,0,0,1,2,3,135,53,32,15,8,4,0,0.4592,0.1803,0.1599,0.0408,0.6395
0xf40dec26ab76df60a761e78c84682d7117a64444,COS,pump,292,291,198,0.68,1.52,2.3,-2,7,0,0,2,3,3,92,64,38,24,10,2,0,0.3162,0.2199,0.2131,0.0412,0.5361
0x68b04d6e06495866cc810d4179caf97651a5ffff,NINA基金会,pump,131,130,188,1.45,1.98,3.92,-2,9,0,1,3,4,5,21,21,29,18,14,3,0,0.1615,0.1615,0.3615,0.1308,0.3231
0x1443d233e2dbad52df65e6b17063274e6c844444,Lenny,normal,91,90,195,2.17,2.89,8.36,-2,16,0,2,3,5,8,16,11,19,11,14,5,2,0.1778,0.1222,0.3333,0.2333,0.3
0x1443d233e2dbad52df65e6b17063274e6c844444,Lenny,normal,24,23,180,7.83,10.29,105.8,0,39,2,3,9,20,35,1,2,6,3,4,2,5,0.0435,0.087,0.3913,0.4783,0.1304
0xb9b1142a28fade5771b7ae076c96c3bee8beffff,龙虾基金,pump,304,303,169,0.56,1.49,2.23,-2,8,0,0,1,2,3,135,51,33,16,10,4,0,0.4455,0.1683,0.1617,0.0462,0.6139
0x4d15d67fcf9bd0b109efa7fc1b150416cca04444,小龙虾,normal,31,30,199,6.63,11.17,124.77,-1,51,0,3,7,22,34,7,3,2,4,4,2,6,0.2333,0.1,0.2,0.4,0.3333
0x4d15d67fcf9bd0b109efa7fc1b150416cca04444,小龙虾,normal,51,50,153,3.06,4.21,17.7,-2,24,1,2,4,7,12,8,7,9,6,9,4,3,0.16,0.14,0.3,0.32,0.3
0xd7a23f95c6698c44c7b861408f0d7b47acc74444,来宝,normal,175,174,167,0.96,1.74,3.03,-2,9,0,1,2,3,4,54,41,24,16,7,4,0,0.3103,0.2356,0.2299,0.0632,0.546