tokenSymbol,tokenAddress,signalCreatedAt,hasTrades,tradeCount,returnRate,realizedPnL,totalSpent,status,buyAge,buyEarlyReturn,buyRiseSpeed,buyHolders,buyDrawdown,buyCards,buyMarketCap,buyFdV,buyTVL,buyTxVolume
"C旧Y新","0x454b2b370ebce20dd95db831ae17213f1fad4444","2026-02-16T08:15:28.056+00:00","true","2","-31.50","-0.3150","1.0000","exited","1.4954666666666665","142.80952118574024","95.49495443055028","45","0","4","8813.5","8813.5","4252.46107","0"
"ONEDAY","0x274f6794cd9ebdf7e1fd9e51accea84246684444","2026-02-16T08:18:08.485+00:00","true","2","-41.92","-0.4192","1.0000","exited","1.1039166666666667","97.61453895113354","88.4256410820263","23","0","4","7513.7","7513.7","4696.53309","6874.15522"
"许我再少年","0xe04c362da8c0b6635092ed752efd7f08ce284444","2026-02-16T08:40:28.718+00:00","true","5","73.65","0.7365","1.0000","exited","1.1231499999999999","68.00599148578337","60.549340235750684","10","0","4","6393.3","6393.3","3450.06262","3798.99989"
"AI Agent的真相","0xaa1bc33593206af9ce34b4e9e84468f9a3074444","2026-02-16T08:47:08.562+00:00","true","2","-40.21","-0.4021","1.0000","exited","1.0048333333333332","61.2260435809924","60.93154113218684","22","0","4","6141.1","6141.1","3001.85516","8723.73452"
"饭马过来","0x38e28736fbd02f71baf2d27c487118c4eb3a4444","2026-02-16T11:11:11.838+00:00","true","2","-43.02","-0.4302","1.0000","exited","1.3353833333333334","92.50919717170665","69.27538697131159","31","0","4","7378.3","7378.3","4746.0355","8316.67321"
"Pikachu","0x131b39e8555d3bde082656b5ee8fb580a7694444","2026-02-16T11:18:11.592+00:00","true","2","-41.65","-0.4165","1.0000","exited","1.1878333333333333","88.46891948268669","74.47923626997617","30","0","4","6776.4","6776.4","4278.52724","5778.56014"
"Mugi","0xc538007adc32e92b34dbed188c538fdd38a24444","2026-02-16T11:27:51.496+00:00","true","2","-37.80","-0.3780","1.0000","exited","1.6870166666666668","60.032249524680495","35.58485859140721","13","0","4","6649.5","6649.5","2949.02415","302.23332"
"死币","0x9cade9532ec760f3b0fce06914e0b4dbf0b84444","2026-02-16T11:39:11.937+00:00","true","2","-37.49","-0.3749","1.0000","exited","1.3271166666666665","74.69536665450563","56.28394890263778","14","0","4","7182.6","7182.6","3831.30063","8580.4611"
"万马奔腾","0xdb4679c5549768665c2963b641db834ff4464444","2026-02-16T11:40:31.96+00:00","true","1","0.00","0.0000","1.0000","monitoring","1.6444333333333332","63.983072984692534","38.908888361558716","12","0","4","6277.6","6277.6","2913.9701","2678.32669"
"白龙马","0x2a3e2874fb9b46c3f0f3b02aa6333387fb154444","2026-02-16T11:43:31.379+00:00","true","5","78.93","0.7893","1.0000","exited","2.5696166666666667","142.50403877221322","55.457314167046924","33","0","4","9006.6","9006.6","6324.65125","3669.66878"
"GDOG","0xafadd1cf54009190e053335deb98ff948baf4444","2026-02-16T11:58:31.94+00:00","true","4","22.92","0.2292","1.0000","exited","1.4123833333333333","137.25970304766867","97.18303792478576","63","0","4","9108.4","9108.4","5343.28264","12264.43723"
"马不停蹄","0x5f42dd17b782705db592972d6c9679fcbff24444","2026-02-16T12:04:13.448+00:00","true","1","0.00","0.0000","1.0000","monitoring","1.00275","55.39291016591568","55.24099742300242","11","0","4","5966","5966","3296.17325","946.42884"
"㆗͏国制造","0xf8433e46d33e29928c7215a092a37581039a4444","2026-02-16T12:32:14.351+00:00","true","2","-58.54","-0.5854","1.0000","exited","1.2508166666666667","128.21222026653254","102.5028077121874","22","0","4","9076","9076","7002.56015","18821.82681"