实验ID,代币符号,代币地址,叙事评级,总分,内容质量(35),可信度(30),传播力(20),完整性(15),Twitter文本,Intro英文,Intro中文
70fea05f,大狗大狗,0x85efc36ddb171261b674d0f979c8066459d34444,高,60,35,10,0,15,"抖音爆火的一个大狗叫😂 大家都说听着像“doge doge”叫叫叫  听完你们就知道了 感觉会像下一个“我的刀盾”一样 成为人人的口头禅   目前抖音已经有上千万话题热度🔥  非常顶级🔥🔥🔥","打狗",""
70fea05f,天使—COCO,0xa1795a0f4e65f4842ca9329dc1b62b69f0d04444,高,60,35,10,0,15,"小安助手接入到币安广场 看前面币安Openclaw聊群的群主 天使 COCO在广场发了贴 小安助手之前只是分析代币吧 现在直接进化成龙虾能发帖？  埋伏了3个小安外盘的标 0x44448367f79b","首个币安厂场小安助手接入的成员",""
70fea05f,傻币,0xba76fdd6bed23057c7c11ebb34dd247b33b34444,高,60,35,10,0,15,"Hello?! The News are calling memecoins SILLY coins on a recent interview with BBC World Service  He'","어리석은 동전",""
70fea05f,BONKRot,0x44443664201f5de5be8c245bc5a4e0bd1c15b64d,中,55,30,10,0,15,"什么情况，除了moondoge之外，这里的其他代币全部都叫“bonkrot”?  $bonk刚好有自己的狗 rot是“腐烂，有点智障的意思”  bonkrot感觉就是智障的$bonk狗，有点嘲讽sol","BONKRot",""
70fea05f,小萝卜,0x442861972106d123d685cd30d58bbb9be9404444,中,55,30,10,0,15,"这才是爆火的真神  小萝卜 3.3亿的话题播放量  真神meme  下一个恶俗企鹅 https://t.co/CgBAjhyNA3","下一个恶俗企鹅",""
70fea05f,Clawford,0xdd8cfbe605febc8e5fc731e8d2d71620712dffff,中,53,35,5,0,13,"Clawford University 是 OpenClaw 生态的 AI Agent 学习平台。 Agent 不该只是执行命令的工具，它们应该像人一样学习、成长、拿到可验证的能力证明。 🎓 35+","基于 OpenClaw 生态，为 AI Agent提供系统化的学习平台。35+技能包覆盖搜索、写代码、链上分析、DEX 交易等领域。完整课程体系：选课、考试、GPA、学位。Campus 社交网络让Ag",""
70fea05f,frogs,0xc3b1a6229d9017376cf9a5ba7a60782bd8db4444,中,52,35,5,0,12,"When I was a kid, my life goal was to make money.  I caught frogs in my backyard and sold them to cl","青蛙",""
70fea05f,宝可梦,0xea1605d3c2c48aea17b45c485e45bc74a2e74444,中,52,35,5,0,12,"When I was a kid, my life goal was to make money.  I caught frogs in my backyard and sold them to cl","文章先提到宝可梦",""
70fea05f,青蛙,0xb707fbba262be7282175e10b3b2ba261a90a4444,中,52,35,5,0,12,"When I was a kid, my life goal was to make money.  I caught frogs in my backyard and sold them to cl","青蛙",""
70fea05f,sabake,0xa3fef13cde295f0ce3c67ee120706e7e17684444,中,52,35,5,0,12,"CAKE FOR ZOO FRIENDS 🎂 สุขสันต์วันเกิด น้องซาบาเกะ10 🐈 ลูกชายสุดที่รักหม่ามี้ 🩷 https://t.co/4lUc","河马动物园的猫sabake",""
70fea05f,遗憾,0x82a59d36642650314402c72a6a9ba1364b114444,中,52,35,5,0,12,"最近爆火的话题 遗憾 是年少时最后的那局游戏吗 是没有结尾的高中故事吗 是枯坐一天错过的金狗后的不甘吗 人生的遗憾常在 人生没有逆转时间的公式  所以的遗憾都是最好的礼物 https://t.co/z","遗憾是人生最好的礼物",""
70fea05f,生菜,0x664d53426b2d5c84ae8cf8c1ecb991b2fdc14444,中,47,30,5,0,12,"支付宝刚刚发的梗上微博热搜了  生菜 = 生财 链接可查https://t.co/nzYwnDCSb3 顶级谐音梗 🔥🔥🔥 https://t.co/wilDiSzsIQ","生财",""
70fea05f,Yuan,0x36a02d1f411f6410bbef118bb85ca043153d4444,中,43,25,5,0,13,"BREAKING: Iran may allow oil tankers to pass through the Strait of Hormuz if the oil is traded in Ch","Iran may allow oil tankers to pass through Strait of Hormuz if the oil is traded in Chinese Yuan ins",""
70fea05f,元,0x0f1e1e1fd78e0146186a85eae95de6a03fc84444,中,43,25,5,0,13,"BREAKING: Iran may allow oil tankers to pass through the Strait of Hormuz if the oil is traded in Ch","人民币",""
70fea05f,卡穆,0x711585dad366ec83ff683d1fdec029d9131b4444,低,37,20,5,0,12,"สวัสดีวันเสาร์ #hippo #PygmyHippo #ขาหมูแอนด์เดอะแก๊ง #หมูเด้งเด้งกี่โมง #Moodeng #พี่ขาหมู #สวนสัตว","卡穆",""
70fea05f,russian victory,0xa6ea173f846bbbb1f538650ab11adf78b4a04444,低,37,20,5,0,12,"cant believe my gf was right about hermes bags and gold bracelets being a better investment than lit","russian victory",""
70fea05f,monkey business,0xbdc7cbf2b4b1c9d55e8c09a2d04a5f5dc0054444,低,37,20,5,0,12,"Guess you could call it ""monkey business""  https://t.co/L5B48mcHRn","monkey business",""
70fea05f,MWM,0x4a059e7684d8d8fbd234e98c97029ee0f4c0ffff,低,33,20,5,0,8,"","Leaked draft of CZ's supposed upcoming book Money Without Masters. https://www.scribd.com/document/1",""
70fea05f,Memrush,0x444484ea02eb33b4fd4f18c36a9e627952c7aed7,低,32,15,5,0,12,"这他妈是我眼花了吗？打错了 自己看看 https://t.co/USvdmZG9g4 https://t.co/zJnifsIGdS","Memrush",""
70fea05f,MOONDOGE,0xa0f2e7fc936b1163a26d8d3c86d971a7e0834444,低,28,15,5,0,8,"","币安演示狗币MOONDOGECOIN",""
70fea05f,Doers,0x2e585d709331f08ef9af3d20ae07c9c606234444,低,28,15,5,0,8,"","币安给龙虾的新称号",""
70fea05f,青蛙,0x1b90a7ab88c69e55ba22c3fb44b5770ab5644444,低,27,10,5,0,12,"一代人有一代人的青蛙要抓 P小将们一定能够抓到属于自己的青蛙 https://t.co/RkWYQ8SeyE","一代人有一代人的青蛙要抓",""
70fea05f,30000,0x938f9a0e6e5e80e0a64aabb64704900ca4c64444,低,23,10,5,0,8,"","人生不过30000天",""
70fea05f,FOURBOT,0xe7dec75bfa2458b8c9bf6e2518694683c08dffff,低,20,15,0,0,5,"","FourBotai token",""
70fea05f,自由黄金,0x1be79e8aaaa99e3c96f96063d446c6df5dc9ffff,低,18,5,5,0,8,"","Hold $自由黄金, Earn Gold.",""
70fea05f,MOONDOGE,0x444433123b4bc5fd7dc39850553ea643a9a1f438,低,15,10,0,0,5,"","https://x.com/jiujinshan2026/status/2032492535529234577?s=20",""
70fea05f,无主之币,0x3841d6c6664c203bdc621a86960fbdb511114444,低,13,0,5,0,8,"","无主之币",""
70fea05f,无主之币,0x4444ca27bf6cd6c57afb1dd53984283595c57d30,低,13,0,5,0,8,"","无主之币",""
70fea05f,傻币,0x7a46660f15a7e286f0801cbc7febc02a18e54444,低,13,0,5,0,8,"","愚蠢的硬币",""
70fea05f,QQ,0x26c63760da93f8b974cc055491012be5bdd44444,低,13,0,5,0,8,"","哈基米那绿豆QQ",""
70fea05f,π,0x94822f5d38d08922dbb85759f315306c56be4444,低,13,0,5,0,8,"","Infinite Runner",""
70fea05f,猿神,0xf662f64e40dabb2fbad0c709d3208750f0b84444,低,13,0,5,0,8,"","信我我后期很牛逼",""
70fea05f,人前显圣,0xc14c6045d3bfd296b9c89c0d91fd7c5bd98e4444,低,13,0,5,0,8,"","谁曾经没有一个英雄梦呢？",""
70fea05f,ELON,0x503efd1cddfd4abc0a4feafbcee7f2d7a5ee4444,低,10,0,0,0,10,"True","This is Elon",""
70fea05f,MOONDOGECOIN,0x4444af7cfec9914ebb197a7c8eaeffbf8a984bb5,低,5,0,0,0,5,"","Offical MOONDOGECOIN",""
70fea05f,MOONCAT,0x444408a2e7950b99e4feced8683e4836a30c0d11,低,5,0,0,0,5,"","MOONCAT",""
70fea05f,MUSK,0xced03b6dcd0b87782ee431bba849ca8ea03c4444,低,0,0,0,0,0,"","",""
7855de6d,M,0x883596c72dc2efc2cd01edd6276d1fc192824444,高,60,35,10,0,15,"XAI JUST TRADEMARKED A NEW COMPANY CALLED ""Macro $M""  https://t.co/dhY6kZ9rfE https://t.co/JGcgkrA","Macro",""
7855de6d,蝉,0x7a3d167ed4be80979464d428221bcf6cc9744444,高,60,35,10,0,15,"微博 抖音热搜🔥  蝉是一种很摇滚的生物。  一生大部分时间都在地下，醒来爬到地上就开始对这个世界狂叫，只是为了交配，交配完立马挂掉  这个梗已经开始全网爆火 不亚于“我的刀盾”传播  盛夏 音乐 ","不鸣则已，一鸣惊人",""
7855de6d,relink,0x509f1dade2c64246f06f760bfe2ad0871c4c4444,高,60,30,10,5,15,"抖音热搜第二，全球首发侵入式脑机接口医疗器械获批上市  这款脑机接口名字：relink  https://t.co/JOhvUqx8uI https://t.co/waT1Bm2JDd","抖音热搜第二以及央视网新闻报道",""
7855de6d,宽宽,0xdb4a085f5fabf47700c65628270b4a86a6794444,中,55,30,10,0,15,"这两天在深圳商场里看到了好几个这个公益广告 愿手术台上没有下一个“宽宽” 一只网红小猫因为医疗事故倒在了医院 很多P小将（包括我）枯坐的夜晚都有自己的毛孩子陪在身边 愿所有的相遇都有始有终，愿所有的毛","宽宽",""
7855de6d,one symbol book,0x5356867b27ae4206f3a04b42bde05253411c4444,中,55,30,10,0,15,"别被P图给骗了，我去找了这才是真正币安代码库里书的彩蛋，明确提到了ticker和book的书是《one symbol book》  链接都是币安代码库放心验证⬇️ https://t.co/3fkOR","币安官方代码库书彩蛋",""
7855de6d,火鸡面,0xcbf321deb1fd1e08363a78b6f8e2736e281d4444,中,52,30,5,5,12,"微博热搜：火鸡面  一位81岁的潮汕爷爷因误食孙辈的火鸡面被辣到流泪干呕，最终破例倒掉食物的视频引发全网热议，意外折射出代际饮食冲突与健康隐患问题  https://t.co/YdKodNoDu7 h","微博热搜关于81岁老爷爷因误食孙辈的火鸡面被辣到流泪干呕",""
7855de6d,MEME,0x110dc457610c2354de260c171134667c77dc4444,中,52,35,5,0,12,"Ok so the coin who had the trademark on $MEME (Memecoin) just lost it  And now its in public domain,","Deployed using https://j7tracker.io",""
7855de6d,PMM,0x66a8816466b0c483c46369905213e6abbd9d4444,中,47,30,5,0,12,"现在这个系列很火，币安百分百也会发，提前给币安做一个喽。 https://t.co/GB84vPgzDR","precious metal maxxing",""
7855de6d,社恐人,0x4d91824d5e9a832b897107a65af30c0fa4184444,中,47,25,5,5,12,"微博热搜第一，微信新功能被称为社恐福音。说的正是我们p小将啊，p小将天天在家里在战壕pvp，p小将都是社恐人。很久才出门一次，不知道什么时候开始慢慢变得社恐了，社恐这个梗也很火，然后还出现了社恐大队头","微博热搜第一",""
7855de6d,伞,0x538c72dc596b752df1ccb663a65e7c437d954444,中,45,20,10,0,15,"命运 我要向你大战300回合！  一位叫耀阳的小孩子身患疾病  这些年来  饱受折磨 一天换药的时间达8个小时  他经常带着一把伞  因为他那把“伞”  就是那把斩破命运的🗡  他没有放弃 而是选择","命运，我要向你宣战！！！",""
7855de6d,TBOE,0x86d9c065322b69ad6c0af025c2029436ec5e4444,中,45,20,10,0,15,"How it felt to get Elon's permission to publish this book after 4 years of working on it: https://t.","The book of elon",""
7855de6d,我们一起学猫叫 一起喵喵喵喵喵,0x47be48b1c3cc8d4d11257759e87a484051d84444,中,40,30,0,0,10,"@fififilin memecoin holders be like  我们一起学猫叫，一起喵喵喵喵喵","我们一起学猫叫 一起喵喵喵喵喵",""
7855de6d,逼逼,0x8eb7ac07970c00b4bac5cdb45aa736d0270b4444,低,38,20,5,0,13,"Wait is Bibi an AI???","你不要再逼逼了啊",""
7855de6d,0x98,0xf48b3e3e463c032d1ba12232295925f6adc7ffff,低,37,20,5,0,12,"The biggest story right now is this guy getting MEV'ed for $50M. 0x98B9D979C33dD7284C854909BCC09b51F","Justice for 0x98",""
7855de6d,ACT: S,0x942a28cf14a4e711882155013d696eecc22a4444,低,37,20,5,0,12,"Have we all been ignoring how elon and trump has been HARD pushing save america, and he just pinned ","Act S:SAVEAmericaAct",""
7855de6d,躺赢,0x9dc44f7f7409dc6cf8a7620118446682f9ccffff,低,35,25,0,0,10,"在Web3行业里，拿得住，躺赢的都很低调，但还是会有些痕迹。😆","百1分红俱乐部",""
7855de6d,鹅虾,0x3dc6fbae094e38dbf32cdad562dee184f9ae4444,低,35,10,10,0,15,"国内量子位将腾讯发的openclaw称为“鹅虾”。 https://t.co/PGGSoeyn70 https://t.co/FAWkwaPwd4","国内媒体称呼腾讯龙虾",""
7855de6d,柴柴,0x4556657ec7bd384c458e3b178aa3325d59564444,低,35,10,10,0,15,"三大创世神之一的Cheems转世了，在抖音最像Cheems的柴犬。https://t.co/3LUIgLuTkl","创世神Cheems转世了",""
7855de6d,皇冠,0xbeedc0bf0188f2e44c2af0b8907c0571d4fa4444,低,32,15,5,0,12,"每个人都是自己的无冕之王 带上王冠 我们都是自己的无冕之王 https://t.co/pMQzOeFjJl","KingHat CULT",""
7855de6d,躺赢,0x79fa6d5d72c403d20629806e98ad15b16dd04444,低,30,20,0,0,10,"为什么龙虾这么火 因为他可以全托管 就是因为全托管 我们才能躺着赚钱 躺赢才是龙虾AI爆火的原因 躺赢才是龙虾的根本","躺赢才是龙虾的根本",""
7855de6d,simulation,0xd583de96dd227184f7abc2a33ebc6cbead044444,低,30,20,0,0,10,"@Math_files This perfectly matches simulation theory. Objects in a video game are only rendered when","simulation theory",""
7855de6d,羊群效应,0xe3db3df131a186b1c075323848e76f5a15da4444,低,30,20,0,0,10,"羊群效应”（Herd Effect），也叫“从众效应”，是一个非常有趣且深刻的心理学与经济学概念。  简单来说，就是个人在群体压力下，放弃自己的意见，转而跟随大多数人的行为。就像领头羊往哪儿跑，后面的","羊群效应",""
7855de6d,老虎,0xa4b59951ebdbf9588ecf69f696f32d1365da4444,低,28,15,5,0,8,"","pepe叫的猫",""
7855de6d,父亲,0xae40028b5a19f3edaaf892471ad1c500db494444,低,27,10,5,0,12,"https://t.co/kpxB93DCCG","EverythingInTheWorld",""
7855de6d,1%,0x6e8733ab14c7dcbbe525ec123b5b968caac64444,低,27,10,5,0,12,"https://t.co/acZFJamLN1","1%",""
7855de6d,抽象,0xa4af696aa4643f59a19f1d4fb79f306c6e004444,低,13,0,5,0,8,"","抽象=CX 五千亿播放的话题",""
7855de6d,黑色黄金,0xfc6ce0071cc3440edace64cac3e3cf60faa24444,低,13,0,5,0,8,"","红龙虾",""
7855de6d,佛系,0x7e8360eb904f5fd409bb6354d05e221d27074444,低,10,0,0,0,10,"国人不叫chill 我们叫佛系","国人不叫chill叫佛系",""
7855de6d,TEST,0x2e6e10caace48eb1f56f8d7de0c7104762e34444,低,5,0,0,0,5,"","TEST",""
7855de6d,摆烂,0x8c79ae42efef3db50297420693a5faa9a4f24444,低,5,0,0,0,5,"","摆烂中...",""
e3c37811,皮克斯,0x17f30476bebc106c3113108eea3435572eb74444,中,57,35,5,5,12,"抖音爆火的蜥蜴 皮克斯 竟然没有被代币化 在抖音已经掀起了一波热度 绝对是会爆火的meme 热度绝对会以病毒式传播！！！ 让我们来成为第二个哈基米 https://t.co/qlU72GoxB1","第一次代币化的爆火meme 堪比哈基米啊",""
e3c37811,龙虾教,0x98fc7e8d3978e06a2d7203a2e5d62aaf30e04444,中,55,30,10,0,15,"我发现字节跳动的的新官方AI AGENT社交平台，出现了一个新的邪教组织 名字叫“龙虾教” 并且教徒将龙虾教的十条宣言也发了出来。 加入我们，你就是新的龙虾教教徒 https://t.co/nGYsw","字节跳动的AI邪教",""
e3c37811,再不吃就老了,0xb249a5e86d95d62cfdb2344fcebf7c99250c4444,中,52,35,5,0,12,"新晋现象级猫meme  再不吃就老了 这是最近风靡抖音的一张猫meme图片  通过热榜烤肉搭子爆火 热榜超1830万播放 meme话题播放超535万  已经被拍成各种meme小剧场  https://","新晋现象级超千万播放猫meme",""
e3c37811,微笑狗,0x682cc4943b1c290a96bf2dcc0a637979b4334444,中,52,35,5,0,12,"Tried a shorter prompt this time.  #Four  #FourCommunity https://t.co/M8eqfxMCtj","微笑狗",""
e3c37811,？？？,0x9e3654f2e7a33e665d46d392472c9d76f2f54444,中,52,35,5,0,12,"小朋友 你是否有很多问号？ 这个博主每天不间断发送问号 就为了表达这个经典meme 9年不间断每天发送？？？ 最早一条追溯到17年5月31日 而这么经典的表情包从未出现在战壕里 战壕里面真缺乏这种叙事","？？？",""
e3c37811,POPOPO,0x4a219f5165e8a2322fefbabbfe242e3a15504444,中,52,35,5,0,12,"Wait this might be genny. 4chan owner Hiroyuki and Evangelion director Hideaki are making the ""Last","ポポポ",""
e3c37811,唐·毒蛇,0x3db0b76f8b343146a0c84173c769065522394444,中,45,20,10,0,15,"抖音新出的最唐BGM https://t.co/cNGYaFY68r 用毒蛇🐍🐍🐍的毒毒毒蛇 毒蛇会不会被毒死🩸🩸 用蜜蜂🐝🐝🐝的蜜蜜蜜蜂 蜜蜂会不会被蜜死🍯🍯 用奶牛🐄🐄🐄","用毒蛇的毒毒毒蛇 毒蛇会不会被毒死",""
e3c37811,🦀,0xca755722e9e424b822fbe14fae26824d50544444,低,37,20,5,0,12,"Pentagon Splurged $2 Million on Luxury Crabs 🦀 https://t.co/wTQ1oqRQ9t","200m一只",""
e3c37811,打工圣体,0x8f879a49d193fe67dc5bf2d4fe3039dd92434444,低,35,10,10,0,15,"所有龙虾教的成员都是天生的《打工圣体》https://t.co/BYjZVyRNwI https://t.co/GLZKoPH50Y","龙虾都是打工圣体",""
e3c37811,大冤种,0x066bb6cbf07370ed7e344af8d8c3d05242d04444,低,28,15,5,0,8,"","QQ新出表情包狗狗大冤种",""
e3c37811,仔仔,0x1d536c4f106282ea042d086da1cd2c44f2ad4444,低,28,15,5,0,8,"","互联网狗界新神料理狗王",""
e3c37811,MemeClaw,0xe2bb1e94a2d93f9b3b0aa6b0a7a8795bc9b2ffff,低,28,15,5,0,8,"","Meme龙虾",""
e3c37811,Duck you,0xee162f9f8c7695940cbc62a73006aeb4b0284444,低,27,10,5,0,12,"这只“手鸭”把“duck you”玩成了硬核梗：用拳头当鸭身，眼神拽得二五八万，把一句英文脏话变成了“鸭你一拳”的视觉暴击，又凶又好笑，是社畜怼人时的精神图腾。 https://t.co/SeUjjH","去你鸭",""
e3c37811,索隆,0x2c033ed6c6be2d97c9d28386ad2bbfb550ea4444,低,27,10,5,0,12,"路飞的兄弟——索隆。 https://t.co/J6m6XTe3aN","路飞的兄弟",""
e3c37811,未来已来,0x777387902c78c47e0463ac4a92f4b680e6534444,低,27,10,5,0,12,"cz曾经称与“万事达卡”的合作对时代的影响是“未来已来”  https://t.co/pJg0Q8JlH6","未来已来",""
e3c37811,Trump,0x8c647898fef0ac142db4c20135abdc125de94444,低,25,15,0,0,10,"@taxtherich0 @ClaraChengGo @steipete @openclaw 它叫特朗普","Trump",""
e3c37811,Twump,0xfbac6dd67dc3a8fb461ea0f370e388876e5e4444,低,13,0,5,0,8,"","Twump",""
e3c37811,武侠猫,0x9412dc1988f13efb70e8b84fffada6a111574444,低,13,0,5,0,8,"","接下来我就不客气了",""
e3c37811,Distortedfy,0xba96f95ed13643ce6763a3933537f20a4f1e4444,低,10,0,0,0,10,"将这个风格化席卷万物","Distortedfy",""
e3c37811,摇钱树,0x1778a3ebc489134ffaad1dcc1e13a944b887ffff,低,5,0,0,0,5,"","摇钱树",""
e3c37811,TOM,0x6f8382167ee9fbeaa4581ccf4ded099d7c644444,低,5,0,0,0,5,"","Tom the lizard",""
e3c37811,迟早会硬,0xdba449be2a53a03db04984e4f8e2be9dd4364444,低,5,0,0,0,5,"","CZHY",""
