"排名","代币符号","代币地址","总数据点数","检测数据点数","检测时价格","CV(%)","方向确认","趋势评分","检测时涨幅(%)","检测时斜率(%/步)","检测时上涨占比(%)","后续最大涨幅(%)","最大价格","当前收益(%)","当前价格"
"1","鸡气人","0xca5151e6d43c2f37e8342acf1f949e68298f4444","88","10","0.00005146","28.672","3/3","73.3","46.27","5.3891","66.7","1243.21","0.00069115","1055.73","0.00059468"
"2","许我再少年","0xe04c362da8c0b6635092ed752efd7f08ce284444","89","10","0.00000600","10.615","3/3","55.4","4.04","1.6860","66.7","196.28","0.00001779","103.36","0.00001221"
"3","贾科长DANCE","0x8a85e9fd74a12c99163b00619d1e1ed4576d4444","88","10","0.00000742","26.710","3/3","66.7","14.51","3.1862","33.3","185.67","0.00002120","2.14","0.00000758"
"4","白龙马","0x2a3e2874fb9b46c3f0f3b02aa6333387fb154444","88","10","0.00001166","26.876","3/3","73.3","103.36","8.8195","66.7","162.43","0.00003059","80.23","0.00002101"
"5","春晚指数6900","0xf5605ead2a10c12df89ec941a4b6bbe0eabc4444","88","10","0.00002940","5.827","3/3","72.8","13.96","1.6191","22.2","137.58","0.00006986","-82.30","0.00000520"
"6","丙午","0xc8de597173423b01998343c6ff1bd5073524ffff","88","10","0.00005234","25.173","3/3","62.2","33.40","5.9542","11.1","129.40","0.00012006","-12.11","0.00004600"
"7","机器人","0xe922980e81770ae6daca495c8d62b56142c84444","88","10","0.00000387","1.173","3/3","58.4","2.09","0.3399","22.2","107.14","0.00000802","46.36","0.00000567"
"8","最难忘的今宵","0xd381987b8cc3ce0c57353fdc8eecc7743083ffff","88","10","0.00007779","73.118","3/3","71.1","2084.90","22.8818","55.6","73.96","0.00013532","52.53","0.00011865"
"9","马上有奇迹","0x879f36f448da97684be97f21f82b480a8c204444","17","10","0.00000570","33.432","2/3","68.9","39.34","-1.2138","44.4","73.07","0.00000987","-28.63","0.00000407"
"10","马上发财","0xd0680f6e69d2e62293a728ddcdb8868573174444","15","10","0.00001317","4.628","2/3","74.7","9.85","0.4922","22.2","42.17","0.00001872","-73.08","0.00000354"
"11","红鹅","0x2eb7178c0fbe6e2831ed3bdaa5a7557549f24444","45","10","0.00001381","3.587","3/3","67.7","7.54","1.0651","11.1","39.27","0.00001924","-73.59","0.00000365"
"12","银河机器人","0x3e189a84465138b65cf8e809c82374061fc5ffff","89","10","0.00002440","2.015","3/3","81.7","5.98","0.6694","88.9","38.25","0.00003373","38.25","0.00003373"
"13","Mugi","0xc538007adc32e92b34dbed188c538fdd38a24444","88","10","0.00000701","5.654","3/3","82.0","18.56","1.7574","66.7","26.21","0.00000885","-48.37","0.00000362"
"14","转转","0x48f6b62800ca2e9fb1c4650c108992995a344444","15","10","0.00002104","43.924","3/3","68.9","466.31","11.9425","44.4","24.04","0.00002610","-82.64","0.00000365"
"15","银河机器人","0x70c0214e02a0c46b80d20b99a719b1d554abffff","88","10","0.00002332","27.655","3/3","68.9","549.28","5.1847","44.4","21.02","0.00002822","20.85","0.00002818"
"16","火马","0x457ff50b43272cb4c249095178f3e2a052fc4444","88","10","0.00001811","33.373","3/3","73.3","154.12","9.4352","66.7","9.48","0.00001983","-72.01","0.00000507"
"17","GDOG","0xafadd1cf54009190e053335deb98ff948baf4444","88","10","0.00001063","26.618","3/3","75.6","36.38","5.9177","77.8","7.02","0.00001137","-63.37","0.00000389"
"18","嘎嘎滴辣虾","0x90b06eab4d86b915590c0a412f0442583acf4444","88","10","0.00001384","26.147","3/3","66.7","102.10","4.2460","33.3","5.58","0.00001461","-60.95","0.00000540"
"19","沈腾一句dogeking骗我看了5年春晚","0x89744bffb3cce3ae2f44b28b832cdcccdec44444","88","10","0.00001342","26.091","3/3","47.5","3.60","4.1456","33.3","4.01","0.00001396","-31.84","0.00000915"
"20","海骝马","0x55b53adcc358766cdeeb9517d18e3e32b8594444","88","10","0.00000394","0.669","2/3","56.0","1.70","0.1622","11.1","3.95","0.00000409","3.95","0.00000409"
"21","年夜饭","0xc61f75da6eddf3ff26c9757107b1815896e8ffff","70","10","0.00000779","30.718","3/3","68.9","114.66","8.6166","44.4","0.82","0.00000786","-53.60","0.00000362"
"22","金马闹新春","0xc163f43da4a2ea7b5408deb07e7d203565d64444","87","10","0.00003601","3.823","3/3","76.5","9.89","0.8827","22.2","0.31","0.00003612","0.07","0.00003604"
"23","普天同庆","0x656a5283abea0ec643c965768d86c0222cfd4444","15","10","0.00000427","5.837","2/3","33.3","0.26","-0.0585","33.3","0.00","0.00000427","0.00","0.00000427"
"24","Ming","0x64807a769dabf5a53ef9bb2019efbc4b12f74444","15","10","0.00000440","2.624","3/3","66.2","4.93","0.2599","33.3","0.00","0.00000440","-15.63","0.00000371"
"25","银河机器人","0x8c0aea2b7c6e00263237588273a418d43737ffff","15","10","0.00000364","0.900","3/3","59.6","2.31","0.2220","22.2","0.00","0.00000364","0.00","0.00000364"
"26","Fire Horse","0xc9229ed2d31136cc35745f8aa9e4aaf87e094444","40","10","0.00000392","0.839","3/3","63.4","2.80","0.2285","33.3","0.00","0.00000392","-3.45","0.00000378"
"27","鸡气人","0x5517b26e5f5c6a625e6de5708d8b448f279e4444","15","10","0.00000414","2.981","3/3","66.2","6.63","0.8278","11.1","0.00","0.00000414","-7.70","0.00000382"
"28","made in СНІΝА","0xf58eab876af00ee1bb31767855efb2e757aa4444","15","10","0.00000479","1.261","3/3","58.1","2.81","0.3502","11.1","0.00","0.00000479","-15.22","0.00000406"
"29","拜年了","0x40d23282bb90570d84562e45e9d846843d884444","25","10","0.00000395","5.303","3/3","67.8","8.00","1.4651","22.2","0.00","0.00000395","-7.19","0.00000366"
"30","1何为贵","0xff40f86280b884f54a62f1002185d25acd374444","16","10","0.00000427","3.007","3/3","72.6","8.07","0.7564","22.2","0.00","0.00000427","-13.82","0.00000368"
"31","人间共鸣","0xdae6222d2211f2ca0d8cce1d4654735521134444","19","10","0.00000394","2.770","3/3","65.7","5.59","0.7989","22.2","0.00","0.00000394","-9.57","0.00000356"
"32","分心马","0x5fd7d77bfcb5badcc0ef233ffc69ae9c2c274444","15","10","0.00000505","11.431","3/3","66.7","40.46","3.5012","33.3","0.00","0.00000505","-29.95","0.00000354"
"33","马了个","0x3745f56bf4ffb79037e5b14ebfc063b2085effff","15","10","0.00000399","1.169","3/3","57.1","2.41","0.3472","11.1","0.00","0.00000399","0.00","0.00000399"
"34","Don't","0x5b0cdbace90b83e8ebf4d97a4f776c0a449d4444","33","10","0.00000778","19.279","3/3","64.4","36.30","4.7342","22.2","0.00","0.00000778","-49.77","0.00000391"